"probs","geography","gender","numofproducts","hascrcard","isactivemember","exited","creditscore_bin","age_bin","tenure_bin","balance_bin","estimatedsalary_bin"
0.048,"Spain","Female",1,0,0,0,"350-600","35-45","+7","130K-170K","50K-100K"
0.024,"Spain","Male",1,1,1,1,"350-600","18-35","<3","<100K","50K-100K"
0.876,"France","Male",2,0,1,0,"350-600","45+","<3","<100K","50K-100K"
0.652,"Germany","Female",1,1,0,0,"350-600","18-35","5-7","<100K","+150K"
0.032,"Germany","Male",1,1,0,0,"600-850","45+","+7","<100K","50K-100K"
0.036,"France","Male",2,0,0,0,"<350","35-45","+7","<100K","<50K"
0.104,"Spain","Male",2,1,1,0,"350-600","18-35","3-5","<100K","+150K"
0.036,"France","Female",2,1,1,0,"600-850","18-35","+7","<100K","50K-100K"
0.164,"France","Male",2,1,0,0,"600-850","35-45","+7","<100K","50K-100K"
0.04,"France","Male",2,1,1,0,"350-600","35-45","+7","<100K","+150K"
0.016,"Germany","Male",1,0,0,1,"<350","35-45","5-7","<100K","50K-100K"
0,"Spain","Female",1,1,0,0,"<350","18-35","3-5","<100K","50K-100K"
0.004,"France","Male",1,1,0,0,"<350","35-45","+7","<100K","<50K"
0.824,"France","Female",1,1,0,0,"<350","35-45","5-7","<100K","50K-100K"
0.056,"Germany","Female",2,0,0,0,"600-850","35-45","<3","<100K","+150K"
0.024,"Germany","Female",1,1,0,1,"350-600","35-45","<3","100K-130K","<50K"
0.044,"France","Female",1,1,0,1,"350-600","35-45","5-7","<100K","50K-100K"
0.664,"Germany","Male",1,0,0,1,"<350","35-45","+7","130K-170K","100K-150K"
0.044,"France","Male",2,1,0,0,"600-850","18-35","5-7","<100K","<50K"
0.016,"Spain","Male",2,0,1,0,"<350","35-45","<3","<100K","50K-100K"
0.092,"France","Female",2,1,0,0,"600-850","18-35","5-7","130K-170K","100K-150K"
0.048,"Spain","Female",3,1,1,1,"350-600","35-45","5-7","<100K","+150K"
0.044,"France","Male",1,0,1,1,"<350","45+","5-7","100K-130K","100K-150K"
0.056,"Spain","Female",2,1,1,0,"<350","18-35","+7","<100K","100K-150K"
0.016,"Germany","Female",2,1,1,0,"350-600","18-35","<3","130K-170K","+150K"
0.908,"France","Male",2,1,0,0,"<350","35-45","<3","<100K","50K-100K"
0.016,"Spain","Female",1,1,0,1,"600-850","18-35","<3","<100K","<50K"
0.688,"Germany","Male",1,0,1,1,"600-850","18-35","3-5","<100K","+150K"
0.008,"Spain","Male",2,1,0,0,"<350","35-45","+7","<100K","100K-150K"
0.792,"France","Female",1,1,0,1,"600-850","18-35","3-5","130K-170K","<50K"
0.096,"Spain","Male",2,0,0,0,"600-850","18-35","+7","<100K","100K-150K"
0.072,"Germany","Male",2,1,1,0,"350-600","45+","+7","130K-170K","100K-150K"
0.148,"France","Female",3,1,0,0,"350-600","35-45","+7","<100K","50K-100K"
0.052,"Spain","Male",2,1,1,0,"<350","45+","+7","<100K","100K-150K"
0.904,"France","Female",2,1,0,1,"<350","35-45","3-5","<100K","+150K"
0.016,"Germany","Female",2,1,1,0,"<350","35-45","<3","100K-130K","100K-150K"
0,"Spain","Male",1,0,1,0,"<350","45+","3-5","<100K","100K-150K"
0.124,"France","Male",2,0,1,0,"<350","18-35","+7","100K-130K","<50K"
0.024,"Germany","Male",1,1,1,0,"<350","18-35","+7","130K-170K","100K-150K"
0.044,"Germany","Female",1,1,0,0,"<350","35-45","3-5","<100K","+150K"
0.104,"France","Male",1,0,0,0,"600-850","35-45","3-5","130K-170K","50K-100K"
0.004,"Spain","Male",1,1,1,0,"350-600","35-45","+7","130K-170K","<50K"
0.044,"Germany","Female",1,1,0,1,"350-600","45+","+7","130K-170K","50K-100K"
0.004,"Spain","Male",2,1,0,0,"600-850","18-35","3-5","<100K","<50K"
0.056,"Germany","Female",1,0,1,1,"600-850","18-35","5-7","100K-130K","100K-150K"
0.028,"France","Female",1,1,1,0,"600-850","18-35","+7","<100K","50K-100K"
